Core,ppm,Intensity,Width,Area,Flags
93,4.36,0.1,3.47,3.73,None
93,4.34,0.3,4.55,14.06,None
94,4.89,0.1,1.86,1.24,None
94,4.88,0.2,2.08,5.02,None
94,4.87,0.2,2.14,5.64,None
94,4.82,0.2,2.84,7.25,None
94,4.81,0.2,2.65,6.9,None
94,4.76,0.2,2.05,5.32,None
94,4.75,0.2,2.65,7.24,None
94,4.74,0.2,2.33,5.38,None
94,4.73,0.2,2.21,5.44,None
94,4.61,0.1,2.14,2.3,None
94,4.6,0.1,2.1,2.48,None
94,4.58,0.2,1.83,4.37,None
94,4.57,0.2,2.08,5.03,None
94,4.48,0.1,2.08,1.33,None
94,4.46,0.1,2.38,2.93,None
94,4.45,0.1,2.09,1.37,None
94,4.44,0.1,2.05,2.38,None
95,4.91,0.2,2.52,5.05,None
95,4.9,0.3,3.04,10.51,None
95,4.89,0.2,2.1,3.97,None
95,4.88,0.3,2.58,8.81,None
95,4.87,0.3,2.45,8.91,None
95,4.82,0.7,3,24.29,None
95,4.81,0.7,3.06,26.74,None
95,4.75,0.4,3.52,17.11,None
95,4.75,0.2,2.32,4.99,None
95,4.74,0.4,3.5,19.51,None
95,4.73,0.2,2.93,8.61,None
95,4.62,0.2,3.16,8.25,None
