m/z,I,S/N,Res.
408.102084,2009641,7.6,573819
408.138368,1921069,7.3,426376
408.174874,1385265,4.9,714200
409.041585,5389715,22.2,469167
409.056685,979348,3.2,780347
409.07802,8774038,36.8,461068
409.093164,1128408,3.8,491067
409.114366,10519963,44.3,465222
409.150751,8799647,36.9,433057
409.187171,4644259,19,469714
409.223646,1418791,5.1,451835
410.081454,1842696,6.9,542065
410.117776,2170124,8.3,524785
410.154246,2012176,7.6,447015
410.190401,1258260,4.4,598889
411.020957,1427955,5.1,450366
411.036331,1293684,4.5,634614
411.057285,7456375,30.9,493020
411.07242,1767289,6.5,498003
411.09368,9884283,41.3,464381
411.109116,1173885,4,494806
411.130067,9721471,40.6,441610
411.166463,7114371,29.5,513328
411.20279,2722951,10.6,507025
412.060679,1682922,6.2,450218
412.097018,2106606,8,654047
412.133353,2120434,8.1,500649
412.169709,1154294,3.9,427356
412.825363,1031490,3.4,800594
412.9161,8336205,34.7,470659
413.036533,2964826,11.7,377926
413.051796,2195548,8.4,434938
413.072955,7722847,32.1,480689
413.08829,1979488,7.5,388949
413.10929,7565155,31.4,431726
413.124758,1599845,5.8,413876
413.145702,6393703,26.4,432963
413.182051,3594603,14.4,483883
413.21855,1382767,4.9,618831
413.915688,2407873,9.3,574520
414.076086,1602515,5.8,528457
414.11279,1905111,7.1,547487
414.149302,1376220,4.9,392074
414.912882,1096501,3.7,601200
415.031086,2083651,7.9,465446
415.052255,3376710,13.4,553409
415.067501,3678791,14.7,491413
415.087593,2049610,7.8,616826
415.08861,5409866,22.2,499194
415.10382,3029580,12,442671
415.116859,1467213,5.3,540189
415.124954,5205582,21.3,476501
415.140255,2494544,9.7,445922
415.15315,1171025,4,635853
415.161438,2373202,9.1,503814
415.176693,1714004,6.3,445653
415.197809,1284823,4.5,492891
415.213157,1088088,3.6,290058
415.220219,1637209,6,532978
416.070808,1054910,3.5,695724
416.092113,1035328,3.4,384700
416.128259,1023940,3.4,790491
416.214946,1231823,4.2,635711
416.957436,1255591,4.3,503339
417.046775,4108594,16.6,498899
417.067876,2386228,9.2,457378
417.083102,4522806,18.4,466210
417.104282,2819385,11.1,502927
417.119521,4406586,17.9,478753
417.140569,1741117,6.4,526613
417.155896,3988287,16.1,505893
417.168812,1130816,3.8,488250
417.177068,1158209,3.9,640899
417.192291,2307651,8.9,393756
417.228789,1090887,3.6,409657
418.086621,1196462,4.1,334257
418.158996,1191479,4,606582
419.025998,2298144,8.7,426699
419.06238,6617636,27.1,487836
419.079385,972070,3.1,642239
419.098803,7310889,30,500582
419.135141,6829613,28,494560
419.171605,5974577,24.4,518704
419.184697,1101619,3.7,807818
419.207905,2528822,9.7,488705
419.298715,950593,3,584764
420.102237,1217250,4.1,366020
420.138508,1425319,5,543307
420.17487,1221547,4.2,494963
421.041664,5622550,22.9,533278
421.075146,1270554,4.4,717441
421.078058,8914714,36.9,489570
421.114442,8696606,35.9,481061
421.150806,7581475,31.2,459165
421.15561,1728804,6.3,448839
421.187153,5004072,20.2,509696
421.2238,1538092,5.5,428613
422.081442,1873302,6.9,531465
422.117899,2246554,8.5,561672
422.154138,1924255,7.2,519057
422.190532,1738147,6.4,516307
423.021058,1622027,5.9,449953
423.057314,7615504,31.3,460926
423.072383,1138321,3.8,562333
423.093723,10565652,43.9,472955
423.130059,10772504,44.8,454005
423.16648,8263709,34.1,466122
423.202852,3264034,12.8,426352
423.239121,1285926,4.4,563949
424.015795,973191,3.1,660885
424.060557,1263501,4.3,348019
424.097008,2263186,8.6,513278
424.133307,2107414,7.9,403298
424.169825,1658011,6,555963
424.206126,1191839,4,604094
424.667912,1018458,3.3,446444
425.036525,4004104,16,508399
425.051919,1403018,4.9,445696
425.072956,9496845,39.3,446394
425.08803,1447695,5.1,613346
425.109328,10707217,44.5,457942
425.145718,10320150,42.8,473286
425.18212,5015835,20.3,466654
425.218567,1695775,6.2,557011
426.076421,2071436,7.7,492508
426.112791,2513809,9.6,500977
426.149105,2430102,9.2,515382
426.185526,1101722,3.6,528197
426.841014,3407342,13.3,521943
426.931838,5904890,23.9,485598
427.015678,1050501,3.4,589545
